<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Saint-Vrain 78579=91579
Saint-Witz 78580=95580
Saint-Yon 78581=91581
Sainte-Geneviève-des-Bois 78549=91549
Sainte-Mesme 78569
Saintry-sur-Seine 78577=91577
Sannois 78582=95582
Santeny 78583=94070
Santeuil 78584=95584
Sarcelles 78585=95585
Sartrouville 78586
Saulx-les-Chartreux 78587=91587
Saulx-Marchais 78588
Savigny-sur-Orge 78589=91589
Senlisse 78590
Septeuil 78591
Seraincourt 78592=95592
Sermaise 78593=91593
Seugy 78594=95594
Sevran 78595=93071
Sèvres 78596=92072
Soindres 78597
Soisy-sous-Montmorency 78598=95598
Soisy-sur-École 78599=91599
Soisy-sur-Seine 78600=91600
Sonchamp 78601
Souzy-la-Briche 78602=91602
Sucy-en-Brie 78603=94071
Survilliers 78604=95604
Tacoignières 78605
Taverny 78607=95607
Tessancourt-sur-Aubette 78609
Théméricourt 78610=95610
Theuville 78611=95611
Thionville-sur-Opton 78614=78381
Thiverval-Grignon 78615
Thoiry 78616
Tigery 78617=91617
Tilly 78618
Torfou 78619=91619
Toussus-le-Noble 78620
Trappes 78621
Tremblay-lès-Gonesse 78622=93073
Triel-sur-Seine 78624
Us 78625=95625
Valenton 78626=94074
Vallangoujard 78627=95627
Valmondois 78628=95628
Valpuiseaux 78629=91629
Varennes-Jarcy 78631=91631
Vaucresson 78632=92076
Vaudherland 78633=95633
Vaugrigneuse 78634=91634
Vauhallan 78635=91635
Vaujours 78636=93074
Vauréal 78637=95637
Vaux-sur-Seine 78638
Vayres-sur-Essonne 78639=91639
Vélizy-Villacoublay 78640
Vémars 78641=95641
Verneuil-sur-Seine 78642
Vernouillet 78643
Verrières-le-Buisson 78645=91645
Versailles 78646
Vert 78647
Vert-le-Grand 78648=91648
Vert-le-Petit 78649=91649
Vétheuil 78651=95651
Viarmes 78652=95652
Vicq 78653
Videlles 78654=91654
Vieille-Église-en-Yvelines 78655
Vienne-en-Arthies 78656=95656
Vigneux-sur-Seine 78657=91657
Vigny 78658=95658
Villabé 78659=91659
Villaines-sous-Bois 78660=95660
Ville-d'Avray 78664=92077
Villebon-sur-Yvette 78661=91661
Villeconin 78662=91662
Villecresnes 78663=94075
Villejust 78666=91666
Villemoisson-sur-Orge 78667=91667
Villeneuve-le-Roi 78669=94077
Villeneuve-Saint-Georges 78670=94078
Villeneuve-sur-Auvers 78671=91671
Villennes-sur-Seine 78672
Villepinte 78673=93078
Villepreux 78674
Villeron 78675=95675
Villers-en-Arthies 78676=95676
Villette 78677
Villiers-Adam 78678=95678
Villiers-le-Bâcle 78679=91679
Villiers-le-Bel 78680=95680
Villiers-le-Mahieu 78681
Villiers-le-Sec 78682=95682
Villiers-Saint-Fréderic 78683
Villiers-sur-Marne 78684=94079
Villiers-sur-Orge 78685=91685
Viroflay 78686
Viry-Châtillon 78687=91687
Voisins-le-Bretonneux 78688
Wissous 78689=91689
Wy-dit-Joli-Village 78690=95690
Yerres 78691=91691
